Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency
2,TCP,,,542.297,542.297,542.297,1084.594,542.297,542.297,115,595,0,350,40345,2,2,3333,56490.0,,3333,56490.0,,55.25,57.5,59.75,11183.25,20172.5,29161.75,mine,Litecoin
39,TCP,UDP,,45.126000000000005,58.225,194.15099999999998,4021.08,238.84799999999998,0.0,193,465,0,77,15030,21,19,443,80.0,123.0,443,80.0,123.0,2.0,5.0,7.0,64.0,216.0,224.0,not_mine,Does not have
164,TCP,UDP,,0.0,0.0,4.6735,1664.4420000000002,60.361000000000004,0.0,5783,621054,92,840,4859208,86,85,443,53.0,80.0,443,53.0,80.0,1.0,1.0,8.0,32.0,65.5,736.5,not_mine,Does not have
264,TCP,UDP,,0.0,0.0,0.38525,1492.152,76.804,0.0,5230,141096,20,877,4586817,77,75,443,123.0,80.0,443,123.0,80.0,1.0,1.0,3.0,32.0,48.0,64.0,not_mine,Does not have
2,TCP,,,258.74350000000004,258.744,258.7445,517.488,258.745,258.743,34,420,0,399,13596,2,2,59090,3337.0,,59090,3337.0,,16.5,17.0,17.5,3684.0,6798.0,9912.0,mine,Bitcash
38,TCP,UDP,,43.9505,75.6315,116.11475,3003.909000000001,149.584,0.0,189,838,1,95,18022,23,20,443,80.0,123.0,443,80.0,1900.0,3.0,4.0,5.75,92.25,128.0,192.0,not_mine,Does not have
2,TCP,,,598.8085000000002,598.821,598.8335,1197.642,598.846,598.7959999999999,718,1302,1,135,97484,2,2,4444,55582.0,,55582,4444.0,,349.0,359.0,369.0,32718.5,48742.0,64765.5,mine,Etherium
32,TCP,UDP,,1.27675,45.968,79.35874999999999,1499.5749999999996,103.095,0.0,121,635,0,106,12904,20,18,443,80.0,123.0,443,80.0,123.0,2.0,3.0,4.0,75.25,112.0,174.0,not_mine,Does not have
94,TCP,UDP,,0.0,0.6895,45.056000000000004,1452.8380000000002,91.852,0.0,5292,316812,45,869,4599807,43,33,443,80.0,5353.0,5355,443.0,80.0,1.0,2.0,3.0,40.0,64.0,120.0,not_mine,Does not have
20,UDP,,,0.0,0.0,0.0,3.003,3.003,0.0,23,271,0,74,1711,11,11,53,39815.0,60547.0,53,39815.0,60547.0,1.0,1.0,1.0,37.0,47.5,65.75,not_mine,Does not have
28,TCP,UDP,,3.00275,169.017,233.01925,3810.866,240.218,0.0,5173,126512,17,888,4595289,16,13,123,443.0,80.0,123,443.0,80.0,3.5,22.0,33.0,102.0,1819.0,10663.5,not_mine,Does not have
16,TCP,,,11.037,31.471999999999998,53.93075,708.78,140.767,5.218,419,1226,1,135,56644,2,2,56731,4444.0,,56731,4444.0,,5.75,18.0,34.0,1060.25,1321.5,4467.5,mine,Etherium
19,TCP,,,5.62,12.147,30.056,481.095,104.89,0.0,289,1208,1,133,38672,2,2,58780,4444.0,,4444,58780.0,,3.5,7.0,21.5,304.0,914.0,1876.0,mine,Etherium
2,TCP,,,430.87025000000006,430.8705,430.87074999999993,861.7410000000001,430.871,430.87,494,1246,1,135,67166,2,2,4444,58780.0,,4444,58780.0,,241.0,247.0,253.0,22215.0,33583.0,44951.0,mine,Etherium
36,TCP,UDP,,10.3015,14.4125,45.058,1006.9679999999997,60.003,0.0,117,1139,1,100,11757,21,20,443,80.0,49078.0,443,80.0,1900.0,2.0,3.0,4.0,40.0,96.0,184.0,not_mine,Does not have
2,TCP,,,286.0605000000001,286.0610000000001,286.0615,572.1220000000002,286.062,286.06,24,278,0,414,9958,2,2,3333,53058.0,,3333,53058.0,,12.0,12.0,12.0,2609.5,4979.0,7348.5,mine,Litecoin
42,TCP,UDP,,103.14,104.1635,116.189,4304.087,148.736,3.002,223,836,1,82,18300,25,22,443,80.0,46532.0,443,80.0,1900.0,4.0,5.0,6.0,128.0,160.0,248.0,not_mine,Does not have
18,TCP,,,4.52,9.947000000000001,43.71975,457.217,60.05,0.754,317,1400,1,133,42342,2,2,56731,4444.0,,56731,4444.0,,5.0,7.0,33.75,417.0,1155.0,1972.5,mine,Etherium
8,UDP,,,0.0,0.0,0.0,0.0,0.0,0.0,8,70,0,59,472,5,5,53,51495.0,59794.0,53,51495.0,59794.0,1.0,1.0,1.0,37.0,46.0,60.5,not_mine,Does not have
183,TCP,UDP,,0.556,0.583,51.6515,5159.608,194.9,0.0,1493,17590,7,307,458421,88,85,80,123.0,443.0,80,123.0,443.0,4.5,5.0,5.0,160.0,799.0,1082.5,not_mine,Does not have
2,TCP,,,563.4490000000002,563.45,563.451,1126.9,563.452,563.448,102,415,0,287,29284,2,2,3333,52003.0,,3333,52003.0,,48.5,51.0,53.5,8406.0,14642.0,20878.0,mine,Litecoin
158,TCP,UDP,,0.00125,45.056000000000004,90.11200000000001,7060.82,170.55700000000002,0.0,5783,180572,26,846,4897467,58,57,443,80.0,53.0,443,80.0,53.0,2.0,2.0,5.0,60.0,64.0,160.0,not_mine,Does not have
14,TCP,,,28.00425,31.0135,58.239,617.9080000000001,100.036,9.972999999999999,361,1216,1,134,48651,2,2,56731,4444.0,,56731,4444.0,,15.5,20.5,32.75,863.5,2171.5,4663.25,mine,Etherium
913,TCP,UDP,,0.0,0.0,90.11200000000001,33246.557,289.378,0.0,12542,180753,41,539,6760770,183,182,443,53.0,40786.0,53,443.0,40786.0,1.0,1.0,8.0,31.0,44.0,740.0,not_mine,Does not have
62,TCP,UDP,,0.1385,9.391,47.04425000000001,2250.887,169.96200000000002,0.0,6110,186506,26,872,5329654,29,26,443,80.0,53.0,443,80.0,1900.0,2.0,4.0,16.75,64.0,128.0,4520.25,not_mine,Does not have
2,TCP,,,599.1569999999999,599.1569999999999,599.1569999999999,1198.3139999999999,599.1569999999999,599.1569999999999,696,1254,1,135,93978,2,2,56731,4444.0,,56731,4444.0,,338.0,348.0,358.0,31400.5,46989.0,62577.5,mine,Etherium
2,TCP,,,259.02925,259.0295,259.02975,518.059,259.03,259.029,20,262,0,424,8485,2,2,59090,3337.0,,59090,3337.0,,10.0,10.0,10.0,2221.25,4242.5,6263.75,mine,Bitcash
95,TCP,UDP,,1.3835,45.051,58.43600000000001,3475.3860000000013,103.76299999999999,0.0,369,1176,2,60,22156,53,50,443,80.0,58710.0,443,80.0,1900.0,2.5,4.0,5.0,84.0,152.0,191.0,not_mine,Does not have
2,TCP,,,283.14625,283.1465,283.14675,566.293,283.147,283.14599999999996,20,210,0,373,7465,2,2,3337,54082.0,,3337,54082.0,,10.0,10.0,10.0,1966.25,3732.5,5498.75,mine,Bitcash
841,TCP,UDP,,0.0,0.09,45.386,24733.632,169.908,0.0,9656,166687,32,647,6251271,181,178,443,123.0,80.0,443,123.0,80.0,1.0,2.0,6.0,32.0,80.0,248.0,not_mine,Does not have
129,TCP,UDP,,0.0,0.0,46.338,2987.2090000000003,180.15200000000002,0.0,5320,193299,27,869,4625215,42,34,443,80.0,5353.0,443,80.0,1900.0,1.0,1.0,3.0,32.0,61.0,160.0,not_mine,Does not have
2,TCP,,,296.01025,296.0105,296.0107500000001,592.021,296.01099999999997,296.01,43,464,0,399,17193,2,2,3333,56490.0,,3333,56490.0,,21.25,21.5,21.75,4571.25,8596.5,12621.75,mine,Litecoin
2,TCP,,,265.24025,265.2405,265.24075,530.481,265.241,265.24,30,485,0,536,16095,2,2,3337,49875.0,,3337,49875.0,,15.0,15.0,15.0,4173.75,8047.5,11921.25,mine,Bitcash
8,TCP,,,4.72625,53.6125,116.535,531.294,156.349,0.705,344,1367,1,135,46744,2,2,56731,4444.0,,56731,4444.0,,3.75,32.0,75.25,680.75,2016.0,6984.75,mine,Etherium
2,TCP,,,332.142,332.142,332.142,664.284,332.142,332.142,53,407,0,319,16937,2,2,3333,56490.0,,3333,56490.0,,25.75,26.5,27.25,4673.25,8468.5,12263.75,mine,Litecoin
10,TCP,,,4.692,29.764,39.50375,921.799,387.224,0.0,565,1266,1,133,75525,2,2,4444,58780.0,,4444,58780.0,,8.25,19.0,25.5,513.75,1525.5,5275.75,mine,Etherium
